id,name,description,image
1,럼,사탕수수 또는 당밀을 발효해 만든 증류주 입니다. 40도 가량의 높은 도수를 가집니다. ,https://i.namu.wiki/i/_TeHERhHcBxMjxkkHTuL0ymFNXRbO5qxly4aEoX6OJcsIWOTqTvvdDolGueRfRKvzKRtcqioB7ZGwQfmVAYq5KZBiBOym7FvYpVpmJ7xNRdvj05L5guEOwhowWwwzXbgZgBVWky6n8UYS0ESOGIB6A.webp
2,위스키,곡물을 발효하여 오크통에 숙성시킨 증류주 입니다. ,https://i.namu.wiki/i/ki4g4dBvMmbo3xpBGKi0Q7ETyEtLApEXGXbtnsV5xqN-EcTLbYJtkb0gi4XIEQVVXiGcig7MTM-uK1ajHp9M5JN-lK5Cw4TDFHPQYgWDP2LmXQoczw-vb9Npw5BfNlv0iY3gdWYnUdVV1w_cT95Pzg.webp
3,브랜디,과실주를 증류하여 만든 증류주 입니다. ,https://i.namu.wiki/i/14RMCE0r0d3MPDHQM05UN4svXcaVxx_RcCRddJcePK81EZZQ7VrDDt2EbfKQ8EOx43rO04WoZGEjQvSaHa4CSGeWX9QHctEFXXrfWqk1ZL4BZUXEkoBNTLRSj91JQ4C558jpcAO9cucDVxZATNx4CA.webp
4,보드카,양조주를 원래의 향이 없어질 때까지 증류한 증류주 입니다. ,https://i.namu.wiki/i/VsA9WEtv1XB4K49xG-bpuJg4EycYmzla6oAZyBy_4Di7-hHaZaqdUEQmiHoT4xP2AvbmENwOhCu7nuSAJkjCxoEyE5fHDwFIKlbsxOwW4vx2BcvLTJ82clkhoSwNRcqV9ttLtXkJmDCKkoRUc6pB5w.webp
5,리큐르,증류주에 향료나 감미료를 넣어 마시기 좋게 만든 술 입니다. ,https://img.danawa.com/prod_img/500000/306/438/img/32438306_1.jpg?_v=20240115135913&shrink=360:360
6,진,곡물을 발효한 뒤 향을 더하여 증류한 40도 이상의 도수로 맞춰낸 술 입니다. ,https://m.goldcompany.co.kr/web/product/big/202211/7dcb1792fd7f12a816227e3d523fb232.jpg
7,와인,포도로 만든 발효주로 두터운 소비층을 가집니다. ,https://www.naracellar.com/data/editor/2002/20200228112104_738245cbd87528fcb171c22f10edfdca_bit9.png
8,데킬라,멕시코 스타일의 증류주로 소금과 라임을 함께 먹기도 합니다. ,https://i.namu.wiki/i/FG720aG-hfLYU-7zym_JhzXbYu_qMLAmMi2VqhRvZSPjtUJ6Y8f6isBCD1osuNjAMsydl2-ifrU3Ta2jYh318963egNpgzEkma4ufunk0kD3Cxw9D_Bj8oA7_VOMuz0Wi40n3nSki3Cwn3nAjZSjvQ.webp
9,베르무트,포도주에 향미를 더한 와인의 한 종류입니다. ,https://i.namu.wiki/i/m4lc8Ya8WcBMEu-cWkbwEXZR2igue4Q8KAvUY5zxF2y54YFP9EhuMpOTqHOkmN5MkHveuRdiETQQ-Ldvmotpc1lahkz7vU5C_fPPXwSIUhuXhxzMWPjR8-DT0-g6Qv85HlVMlPlVsFNuC6t_Tce7DQ.webp
10,주스,과일을 착즙하여 만듭니다. ,https://i.namu.wiki/i/-JxNnXsV6MMLjHCfF5If7z9yy8_YdQZJwVs36abKkfcTFMVPbAyaIIXOYCHALZBZsne8wxbKV-Koqg9upWy1HgAFRTouPJR_auCMTwihvQwZ-moc6b2xBGn-PHj1635U0gTOe88Eu_BzWa7DbFmnBw.webp
11,비터스,유럽에서 약용으로 쓰이던 주종,https://i.namu.wiki/i/FiWhPTUDbAoyrrUGyUhk8IMJ7zRBTkugdSVRexLboiFbQWiXqy3N9_3jaE23r-yjff4Dy2Fs3YWUk2Bqexfbgj_gDWWzR-9pjnP5-HgxAVXqZ-GFNVwsVCkXAQFlcszKtvdgM-AYwgkmtkjY_P-gTw.webp
